Date,State,Cases
2020-05-30,Andaman and Nicobar Islands,33
2020-05-30,Andhra Pradesh,3436
2020-05-30,Arunachal Pradesh,3
2020-05-30,Assam,1024
2020-05-30,Bihar,3376
2020-05-30,Chandigarh,289
2020-05-30,Chhattisgarh,415
2020-05-30,Dadar Nagar Haveli,2
2020-05-30,Delhi,17386
2020-05-30,Goa,69
2020-05-30,Gujarat,15934
2020-05-30,Haryana,1721
2020-05-30,Himachal Pradesh,295
2020-05-30,Jammu and Kashmir,2164
2020-05-30,Jharkhand,511
2020-05-30,Karnataka,2781
2020-05-30,Kerala,1150
2020-05-30,Ladakh,74
2020-05-30,Lakshadweep,0
2020-05-30,Madhya Pradesh,7645
2020-05-30,Maharashtra,62228
2020-05-30,Manipur,59
2020-05-30,Meghalaya,27
2020-05-30,Mizoram,1
2020-05-30,Nagaland,25
2020-05-30,Odisha,1723
2020-05-30,Puducherry,51
2020-05-30,Punjab,2197
2020-05-30,Rajasthan,8365
2020-05-30,Sikkim,1
2020-05-30,Tamil Nadu,20246
2020-05-30,Telengana,2425
2020-05-30,Tripura,251
2020-05-30,Uttar Pradesh,7284
2020-05-30,Uttarakhand,716
2020-05-30,West Bengal,4813
